"Key","Summary","Status","Priority","Type","Project","Created","Updated"
"WCB-231","Modify employee detail page to use people sync fields","New","Medium","Task","WCB","2026-02-06","2026-02-06"
"WCB-229","Deploy updated CustomFilter and GraphApiClient to PROD","In Progress","Medium","Sub-task","WCB","2026-02-04","2026-02-05"
"WCB-228","Implement AAD Group Membership Filter for PeopleSync - TransitiveMembers Support","In Progress","Medium","Task","WCB","2026-02-02","2026-02-04"
"WCB-198","CDN for static files","In Progress","Medium","Sub-task","WCB","2025-12-02","2026-02-04"
"WCB-193","Performance Checklist hub.wcb.ab.ca","In Progress","Highest","Story","WCB","2025-11-26","2026-01-15"
"WCB-197","CDN for images","In Progress","Medium","Sub-task","WCB","2025-12-02","2026-01-15"
"WCB-200","Image Sizes","In Progress","Medium","Sub-task","WCB","2025-12-02","2026-01-15"
"WCB-212","Curated Content","Backlog","Medium","Sub-task","WCB","2025-12-02","2026-01-15"
"WCB-201","List sizes","Backlog","Medium","Sub-task","WCB","2025-12-02","2026-01-15"
"WCB-196","HTTP 404s","Backlog","Medium","Sub-task","WCB","2025-12-02","2026-01-15"
"WCB-213","Slider Apps","Backlog","Medium","Sub-task","WCB","2025-12-02","2026-01-15"
"WCB-205","Update App Manager Settings","Backlog","Medium","Sub-task","WCB","2025-12-02","2026-01-15"
"WCB-209","Widget loading views","Backlog","Medium","Sub-task","WCB","2025-12-02","2026-01-15"
"WCB-202","HTTP Protocol","Backlog","Medium","Sub-task","WCB","2025-12-02","2026-01-15"
"WCB-203","Update Headless Settings","Backlog","Medium","Sub-task","WCB","2025-12-02","2026-01-15"
"WCB-215","Baseline Page Cold Load","Backlog","Medium","Sub-task","WCB","2025-12-02","2026-01-15"
"WCB-216","Home Page Cold Load","Backlog","Medium","Sub-task","WCB","2025-12-02","2026-01-15"
"WCB-218","Home Page Warm Load","Backlog","Medium","Sub-task","WCB","2025-12-02","2026-01-15"
"WCB-217","Baseline Page Warm Load","Backlog","Medium","Sub-task","WCB","2025-12-02","2026-01-15"
"WCB-214","Baseline Page","Backlog","Medium","Sub-task","WCB","2025-12-02","2026-01-15"
"WCB-225","DEV Release - 12/15/2025","Backlog","Medium","Task","WCB","2025-12-15","2026-01-15"
"WCB-224","PROD Release - 12/15/2025","Backlog","Medium","Task","WCB","2025-12-15","2026-01-15"
"LAC-174","Homepage-Events-Featured is not using the correct branding colors","Ready for PROD Deploy","Highest","Bug","LAC","2025-11-24","2026-01-05"
"LAC-153","Change Tab title font size for HTML Tab widget","Ready for PROD Deploy","Highest","Story","LAC","2025-10-27","2026-01-05"
"LAC-171","Top Nav menu links to error page","Ready for PROD Deploy","High","Bug","LAC","2025-11-19","2026-01-05"
"LAC-165","Loading... displaying in Header","Ready for PROD Deploy","Highest","Bug","LAC","2025-11-07","2026-01-05"
"LAC-177","Homepage Videos (Streams Widget) modal responsive styling doesn't match other video modals","Ready for PROD Deploy","Highest","Bug","LAC","2025-11-25","2026-01-05"
"LAC-176","Employee Detail-Displaying different view when using the link in the Typeahead on a department site","Ready for PROD Deploy","Highest","Bug","LAC","2025-11-24","2026-01-05"
"LAC-175","News Detail-displaying comment error","Ready for PROD Deploy","Highest","Bug","LAC","2025-11-24","2026-01-05"
"LAC-224","Ensure the removal of resource directory results from global search, as previously discussed and agreed upon by the team.","New","Medium","Sub-task","LAC","2026-01-30","2026-01-30"
"LAC-220","Court Resources Widget - Initial Feedback and Issues","New","Medium","Bug","LAC","2026-01-21","2026-01-21"
"LAC-218","Create List and Content Type Instructions for Dev Deploy","New","Medium","Sub-task","LAC","2026-01-06","2026-01-07"
"LAC-214","Checking access to LAC environment","New","Medium","Task","LAC","2026-01-05","2026-01-05"
"LAC-196","BPS-220 Profile image preload","In Progress","Medium","Sub-task","LAC","2025-12-08","2025-12-22"
"LAC-212","BPS-226 - Hide loading bars and spinner","In Progress","Medium","Sub-task","LAC","2025-12-19","2025-12-22"
"LAC-194","BPS-225 Footer and Header - default height","In Progress","Medium","Sub-task","LAC","2025-12-08","2025-12-22"
"LAC-193","BPS-205 - Lazy loading images","In Progress","Medium","Sub-task","LAC","2025-12-08","2025-12-22"
"LAC-216","Dev Deployment 1/9","Backlog","Highest","Story","LAC","2026-01-05","2026-01-15"
"LAC-185","Baseline Page Cold Load","Backlog","Medium","Sub-task","LAC","2025-12-08","2025-12-22"
"LAC-190","Top menu properties","Backlog","Medium","Sub-task","LAC","2025-12-08","2025-12-22"
"LAC-192","Vanity URL","Backlog","Medium","Sub-task","LAC","2025-12-08","2025-12-22"
"LAC-191","Widget loading views","Backlog","Medium","Sub-task","LAC","2025-12-08","2025-12-22"
"LAC-197","Update Headless Settings","Backlog","Medium","Sub-task","LAC","2025-12-08","2025-12-22"
"LAC-184","Home Page Cold Load","Backlog","Medium","Sub-task","LAC","2025-12-08","2025-12-22"
"LAC-199","List sizes","Backlog","Medium","Sub-task","LAC","2025-12-08","2025-12-22"
"LAC-198","HTTP Protocol","Backlog","Medium","Sub-task","LAC","2025-12-08","2025-12-22"
"LAC-200","Image Sizes","Backlog","Medium","Sub-task","LAC","2025-12-08","2025-12-22"
"LAC-205","HTTP 404s","Backlog","Medium","Sub-task","LAC","2025-12-08","2025-12-22"
"LAC-183","Home Page Warm Load","Backlog","Medium","Sub-task","LAC","2025-12-08","2025-12-22"
"LAC-182","Baseline Page Warm Load","Backlog","Medium","Sub-task","LAC","2025-12-08","2025-12-22"
"LAC-195","Update App Manager Settings","Backlog","Medium","Sub-task","LAC","2025-12-08","2025-12-22"
"LAC-204","Same top level domain","Backlog","Medium","Sub-task","LAC","2025-12-08","2025-12-22"
